Source,Aves,Mins,Maxs,Mins_error
Random,-74.95248945659077,-74.97205584297296,-74.91723118418894,0.040372326779603895
Latest Model,-74.95537229123059,-74.97068781808854,-74.90675869859234,0.041740351664032005
Best Model,-74.96305110182753,-74.9668334505343,-74.9496735570514,0.04559471921827196
