Source,Aves,Mins,Maxs,Mins_error
Random,-74.9332520820031,-74.97158284935367,-74.73694952840958,0.040923413994462976
Latest Model,-74.92918182445251,-74.97152895878871,-74.90219343781425,0.04097730455941928
Best Model,-74.96217637826,-74.96217637826001,-74.96217637826001,0.050329885088117976
