,0
0,5471.2255859375
1,4997.3372802734375
2,4485.666687011719
3,3969.4054565429688
4,3475.2037353515625
5,3041.1368713378906
6,2674.123504638672
7,2328.4290466308594
8,2034.2750244140625
9,1787.4988250732422
10,1584.1171569824219
11,1422.2592468261719
12,1305.5827941894531
13,1238.3724060058594
14,1197.9091491699219
15,1136.6554870605469
16,1070.0558471679688
17,998.484245300293
18,936.2985610961914
19,877.9219284057617
20,826.5829238891602
21,786.0494384765625
22,774.3739471435547
23,740.7726898193359
24,702.1463928222656
25,684.69775390625
26,643.4571380615234
27,609.6170120239258
28,578.8887252807617
29,550.6416320800781
30,523.9512481689453
31,500.0171089172363
32,774.6751747131348
33,811.0519104003906
34,734.3277587890625
35,663.9274063110352
36,603.0632476806641
37,575.7349395751953
38,558.3528594970703
39,540.1590423583984
40,550.871940612793
41,519.9043121337891
42,573.8033142089844
43,812.0198364257812
44,635.3910751342773
45,581.4156723022461
46,552.0076522827148
47,524.8569030761719
48,500.5682258605957
49,478.1954040527344
50,456.40739822387695
51,435.24996185302734
52,414.22237396240234
53,392.31212615966797
54,368.4273109436035
55,340.743106842041
56,319.1082878112793
57,291.36312103271484
58,269.4727439880371
59,246.05364418029785
60,229.8486499786377
61,217.43719863891602
62,206.94756507873535
63,198.0450553894043
64,190.6294460296631
65,183.1413230895996
66,176.22262001037598
67,170.05806922912598
68,164.01621055603027
69,158.15196418762207
70,152.20197868347168
71,147.84409141540527
72,143.73266410827637
73,137.3971004486084
74,133.08706665039062
75,127.84839534759521
76,122.72006702423096
77,117.80605888366699
78,113.98456001281738
79,108.78999042510986
80,104.64514541625977
81,100.66207218170166
82,96.77165412902832
83,93.37234592437744
84,89.70866203308105
85,86.25846290588379
86,82.4663896560669
87,78.98611068725586
88,75.71868515014648
89,73.15439701080322
90,70.28032875061035
91,67.14118480682373
92,67.67149305343628
93,72.39840698242188
94,75.94283676147461
95,62.86787223815918
96,57.593313217163086
97,53.5517578125
98,50.259995460510254
99,47.79052114486694
100,45.53026723861694
101,43.47275924682617
102,41.329331398010254
103,39.39914321899414
104,37.63159799575806
105,35.98540925979614
106,34.36789560317993
107,32.78387379646301
108,31.117746114730835
109,29.77127766609192
110,28.33344292640686
111,27.164465188980103
112,26.17475652694702
113,24.720940351486206
114,23.60144543647766
115,22.438639163970947
116,21.37265110015869
117,20.33613157272339
118,19.363449811935425
119,18.548949241638184
120,17.581594586372375
121,16.95491635799408
122,16.3707754611969
123,15.999340653419495
124,14.773168444633484
125,14.003758072853088
126,13.286263823509216
127,12.616567373275757
128,11.915260553359985
129,11.451148867607117
130,10.907076478004456
131,10.353169798851013
132,9.929987967014313
133,9.360221087932587
134,8.938208878040314
135,8.483413815498352
136,8.17962908744812
137,7.729958772659302
138,7.414562284946442
139,7.083962559700012
140,6.849018692970276
141,6.462188184261322
142,6.18657511472702
143,5.918377637863159
144,5.590051651000977
145,5.330321788787842
146,5.095570266246796
147,4.855451434850693
148,4.594230562448502
149,4.445876985788345
150,4.264322578907013
151,4.066318690776825
152,3.9005391001701355
153,3.7162730991840363
154,3.554753929376602
155,3.3674542903900146
156,3.245322108268738
157,3.081947237253189
158,2.931109696626663
159,2.822112515568733
160,2.7320395708084106
161,2.607505425810814
162,2.5134179294109344
163,2.488941863179207
164,2.381975904107094
165,2.2418321818113327
166,2.149293914437294
167,2.1547301709651947
168,2.003132849931717
169,1.9026354104280472
170,1.8014181703329086
171,1.7617484778165817
172,1.6638452634215355
173,1.5790994092822075
174,1.5324070751667023
175,1.5033411383628845
176,1.5123909711837769
177,1.4893669039011002
178,1.364311344921589
179,1.3321627378463745
180,1.240391418337822
181,1.1987959444522858
182,1.1389787197113037
183,1.1043162196874619
184,1.0309060215950012
185,1.0211005583405495
186,0.9536269754171371
187,0.9332702234387398
188,0.890851367264986
189,0.8769921585917473
190,0.8191579692065716
191,0.8019273392856121
192,0.7951228655874729
193,0.7329443991184235
194,0.7028514742851257
195,0.6756761111319065
196,0.6463160812854767
197,0.625885646790266
198,0.6089366413652897
199,0.6008617430925369
200,0.5962069500237703
201,0.5586788207292557
202,0.5524660758674145
203,0.5421143304556608
204,0.5221817623823881
205,0.49190817028284073
206,0.47702163830399513
207,0.47525436617434025
208,0.4557304438203573
209,0.4202635306864977
210,0.42181869596242905
211,0.398484630510211
212,0.38710067234933376
213,0.3670111168175936
214,0.35665259696543217
215,0.344632288441062
216,0.32852017506957054
217,0.32194588147103786
218,0.30908603500574827
219,0.29691262915730476
220,0.29098404198884964
221,0.28634365275502205
222,0.28475822787731886
223,0.2859593713656068
224,0.2704854318872094
225,0.25949886348098516
226,0.2413344383239746
227,0.23681826796382666
228,0.22248485404998064
229,0.21796910744160414
230,0.21781080588698387
231,0.20948177948594093
232,0.2004189919680357
233,0.19349949806928635
234,0.19034760212525725
235,0.1887512058019638
236,0.18392485473304987
237,0.19839149992913008
238,0.1672846870496869
239,0.16651778295636177
240,0.15475507266819477
241,0.14999650232493877
242,0.14295634161680937
243,0.14135542511940002
244,0.1395619148388505
245,0.1629651221446693
246,0.14367283042520285
247,0.13568299915641546
248,0.13375034648925066
249,0.12243544263765216
250,0.12413498759269714
251,0.1206741826608777
252,0.11247205687686801
253,0.10827841376885772
254,0.10068873688578606
255,0.10486869933083653
256,0.09737449744716287
257,0.08994652889668941
258,0.08651299169287086
259,0.08742242399603128
260,0.0815233001485467
261,0.09016208769753575
262,0.08689278876408935
263,0.09258812386542559
264,0.08976434171199799
265,0.08489175885915756
266,0.0773708769120276
267,0.07518580509349704
268,0.07875167159363627
269,0.06845358246937394
270,0.07787559647113085
271,0.07303422037512064
