event_id,event_category,event_type_raw,began,restored,year,n_counties_affected,n_states_affected,mean_duration_hours,total_customers_affected,max_customers_single_county
Texas-63,Physical/Security,Actual Physical Attack/Vandalism,2021-10-28 12:06:00,2021-10-28 12:30:00,2021,105,1,6.352822580645161,390898.0,28904.0
Texas-64,Weather,Severe Weather/Transmission Interruption,2021-08-02 00:18:00,2021-08-02 10:47:00,2021,84,1,1.8699551569506727,110111.0,21766.0
Texas-65,Weather,Severe Weather/Transmission Interruption,2021-08-02 06:23:00,2021-08-02 15:55:00,2021,85,1,1.7488372093023257,106556.0,21766.0
Texas-66,Equipment/Operational,Transmission Interruption,2021-03-30 16:18:00,2021-03-30 20:21:00,2021,56,1,1.3695652173913044,85709.0,15248.0
Texas-67,Physical/Security,Vandalism,2021-05-11 23:01:00,2021-05-12 08:29:00,2021,70,1,2.795138888888889,160432.0,47372.0
Texas-68,Equipment/Operational,Transmission Interruption,2021-02-01 23:25:00,2021-02-02 01:12:00,2021,43,1,1.880281690140845,60077.0,6792.0
Texas-69,Physical/Security,Vandalism,2021-06-08 15:00:00,2021-06-08 15:01:00,2021,79,1,1.8008474576271187,93211.0,6245.0
Texas-7,Equipment/Operational,System Operations,2015-06-03 15:00:00,2015-06-05 17:00:00,2015,220,1,4.159372071227741,1586288.0,455986.0
Texas-70,Physical/Security,Vandalism,2021-01-21 00:00:00,2021-02-03 16:55:00,2021,115,1,2.498247663551402,225411.0,21872.0
Texas-71,Weather,Severe Weather,2021-02-15 10:24:00,2021-02-18 09:52:00,2021,198,1,7.216049382716049,1336644.0,455986.0
Texas-72,Equipment/Operational,Transmission Interruption,2021-09-13 13:10:00,2021-09-13 13:10:00,2021,64,1,2.2003968253968256,90758.0,17172.0
Texas-73,Equipment/Operational,System Operations,2021-11-11 05:52:00,2021-11-11 06:09:00,2021,63,1,1.7967741935483872,145643.0,38358.0
Texas-74,Physical/Security,Vandalism,2021-03-01 13:06:00,2021-03-01 13:07:00,2021,51,1,1.4193548387096775,56519.0,4032.0
Texas-75,Weather,Severe Weather,2021-02-15 09:10:00,2021-02-15 09:10:00,2021,96,1,5.046875,947030.0,455986.0
Texas-76,Equipment/Operational,System Operations,2021-12-24 00:34:00,2021-12-24 06:40:00,2021,40,1,1.667763157894737,45986.0,4287.0
Texas-77,Weather,Severe Weather,2021-02-15 02:51:00,2021-02-19 09:00:00,2021,219,1,12.215746907706945,2969010.0,455986.0
Texas-78,Equipment/Operational,System Operations,2021-02-15 16:00:00,2021-02-15 18:34:00,2021,116,1,4.784632034632034,1014947.0,455986.0
Texas-79,Equipment/Operational,System Operations,2021-02-16 17:45:00,2021-02-16 19:15:00,2021,127,1,4.072351421188631,760677.0,305122.0
Texas-8,Equipment/Operational,System Operations,2015-07-03 17:17:00,2015-07-03 23:30:00,2015,228,1,7.796917497733454,3203321.0,455986.0
Texas-80,Equipment/Operational,System Operations,2021-02-17 06:38:00,2021-02-17 08:37:00,2021,149,1,5.664490861618799,818948.0,305122.0
Texas-81,Equipment/Operational,System Operations,2021-04-21 13:13:00,2021-04-21 14:10:00,2021,73,1,2.308333333333333,89655.0,5891.0
Texas-82,Physical/Security,Suspicious Activity,2021-09-02 14:07:00,2021-09-02 14:10:00,2021,57,1,1.622340425531915,55973.0,4405.0
Texas-9,Equipment/Operational,System Operations,2015-07-16 16:45:00,2015-07-16 17:48:00,2015,231,1,7.3963067555045665,3454249.0,455986.0
Utah-0,Physical/Security,Sabotage,2017-04-17 09:25:00,2017-04-17 09:26:00,2017,21,1,2.3364197530864197,83080.0,58592.0
