,0
0,2.171468146097459
1,0.3778653892362547
2,0.2737825296199325
3,0.2391657047728187
4,0.2247397334548419
5,0.2135678022559398
6,0.2100428819988072
7,0.201910610810643
8,0.1965619717171199
9,0.189934765864285
10,0.1791626101646366
11,0.1604966656297514
12,0.1389938779446398
13,0.1101043025185347
14,0.0832733398687521
15,0.0655991997158057
16,0.0522979007064395
17,0.0391566702971067
18,0.0339730409307522
19,0.0316972133722102
20,0.0271839523625063
21,0.0270879184771809
22,0.0279678514109532
23,0.0285441837837497
24,0.0307598082422861
25,0.0291493727521549
26,0.028018278866119
27,0.0250030358318525
28,0.0252341440089559
29,0.0238058695045925
30,0.0236545449658256
31,0.0222570444750778
32,0.0234368147599432
33,0.0214684799102162
34,0.0231061850890782
35,0.0226689621230806
36,0.0217254397568844
37,0.0229917156299087
38,0.0215270945853633
39,0.0238932151400397
40,0.0208142718522
41,0.0215418577006973
42,0.0216452451473398
43,0.0201185333172769
44,0.022394466585969
45,0.021994156550825
46,0.0191436332973498
47,0.0193059034818249
48,0.0204418591489234
49,0.0210215050456812
50,0.0202488050823517
51,0.0201329594180118
52,0.0180706121369938
53,0.0180504963408533
54,0.0190516591360066
55,0.0190037751606845
56,0.0174808132032203
57,0.0176334649645736
58,0.018739119087721
59,0.0181947576180434
60,0.0185070923807563
61,0.0186313193900653
62,0.0179522194749285
63,0.0168313172595495
64,0.0164779067906857
65,0.0159987571725391
66,0.0166922534793112
67,0.0173799624500427
68,0.0167374165630494
69,0.0164512187029809
70,0.0160113932301423
71,0.0166058593399908
72,0.0163191631457842
73,0.0163029668018909
74,0.0168157767298805
75,0.0158637706347372
76,0.0157949600500689
77,0.0159225630633304
78,0.0158089919730339
79,0.0163094575139952
80,0.0160574579417302
81,0.0155136473378337
82,0.0167110445437987
83,0.0154398926846852
84,0.0156364041323355
85,0.0153821067760062
86,0.0146744171096035
87,0.0136684151296137
88,0.0143408486601175
89,0.0148050544967272
90,0.0146258271121695
91,0.0140634646808386
92,0.0144542736572863
93,0.0144276272863067
94,0.0145465981055906
95,0.0154876111475273
96,0.0135903511777322
97,0.014189909475571
98,0.0139777116232411
99,0.0131870723214527
100,0.0139425360632903
101,0.0133949368244944
102,0.0141701010645049
103,0.014560990742769
104,0.0131097574165917
105,0.0142598133539611
106,0.0132887399557673
107,0.013216167509825
108,0.0138587951883021
109,0.0144895199892651
110,0.0134078898157102
111,0.0132059060437397
112,0.0138855569544568
113,0.0137345550329717
114,0.0129573374899691
115,0.013057812924963
116,0.0127111947517008
117,0.0138752656741867
118,0.0135953659833639
119,0.0139493853259228
120,0.0140077258863871
121,0.0152487574235725
122,0.0161201219454325
123,0.012860983852742
124,0.0125559783166158
125,0.0139502557467664
126,0.0133478355832489
127,0.0126869950478408
128,0.0138392774878835
129,0.0133884248216774
130,0.0133496599530741
131,0.013767989824203
132,0.0133066108366438
