,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-1.1331152717806328,-1.116651162745699,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1244611935900979,-1.1333381508392704,-1.1350467033745493,-1.1372625492981556,-1.1351110886305313,-1.1332088465223737,-1.1333381508392704,-1.136952948556708,-1.1333381508392704,-1.1371854847536176,-1.1354017970874424,-1.1370380157299025,-1.136952248519961,-1.1370380157299025,-1.1372133903965913
1,-1.1331152717806328,-1.136982208804156,-1.1161732846536578,-1.136982208804156,-1.1333381508392704,-1.1263201371879286,-1.1251183767660244,-1.1350752031534759,-1.1350752031534754,-1.1355860606075765,-1.1332088465223737,-1.1350752031534754,-1.1365141362763618,-1.1350467033745493,-1.1370380157299025,-1.136952948556708,-1.135063700947805,-1.136952248519961,-1.1370380157299025,-1.136483480833326
2,-1.1331152717806328,-1.116651162745699,-1.1165316745536307,-1.136982208804156,-1.1333381508392704,-1.1263200259514017,-1.1333381508392704,-1.1350752031534759,-1.1370380157299025,-1.1369529485567078,-1.1332088465223737,-1.1251183767660244,-1.1370380157299025,-1.135045317360719,-1.1369822088041557,-1.136952948556708,-1.1370380157299025,-1.1369529485567078,-1.1368651723862193,-1.1365141362763618
3,-1.1228152255932504,-1.116651162745699,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1244611935900979,-1.1332527130536172,-1.1350752031534754,-1.1372625492981556,-1.1351110886305313,-1.136982208804156,-1.1251183767660244,-1.1346192957457395,-1.136865172386219,-1.1350752031534754,-1.137146161384392,-1.136952948556708,-1.1369822088041557,-1.1370380157299025,-1.1369529485567078
4,-1.1303392703524733,-1.1308203395479752,-1.1305517189143464,-1.1349079218644864,-1.1333381508392704,-1.1244611935900979,-1.1370380157299025,-1.1369822088041555,-1.1370380157299025,-1.1367364527000243,-1.1331640809105281,-1.1350752031534759,-1.1370087533025255,-1.136982208804156,-1.1349079218644862,-1.1372625492981558,-1.1310986770841034,-1.1356155287092788,-1.1350752031534754,-1.1350752031534759
5,-1.1308203395479755,-1.136982208804156,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1263200259514017,-1.137146161384392,-1.1350752031534759,-1.1369822088041555,-1.1368637776583208,-1.1332088465223737,-1.1370380157299025,-1.1369822088041555,-1.1357549697344524,-1.1350752031534754,-1.1346083222559262,-1.1361971694515853,-1.1369223512525812,-1.1370380157299025,-1.1372133903965913
6,-1.1308203395479755,-1.1288746281934445,-1.1305495977192037,-1.1349079218644864,-1.1333381508392704,-1.124610344205239,-1.13681765468337,-1.1369822088041555,-1.1363087484255672,-1.1370090984810064,-1.1332088465223737,-1.1332527130536172,-1.1369822088041557,-1.1350467033745493,-1.136575430107151,-1.136982046297343,-1.1355493525526388,-1.1369529485567078,-1.1370380157299025,-1.1363087484255667
7,-1.1308203395479755,-1.116651162745699,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1263200259514017,-1.1251183767660244,-1.1350752031534754,-1.1369822088041555,-1.1347898148091053,-1.1332088465223737,-1.1350467033745493,-1.1310986770841034,-1.1346192957457395,-1.1367364527000243,-1.1370380157299025,-1.136952948556708,-1.1372625492981558,-1.1370380157299025,-1.1372334511830848
8,-1.1228152255932504,-1.136982208804156,-1.1161732846536578,-1.1370380157299025,-1.1333381508392704,-1.1263197836232788,-1.1333381508392704,-1.1350752031534759,-1.1370380157299025,-1.1347892521949585,-1.1332088465223737,-1.1332527130536172,-1.1349612084908032,-1.1357549697344524,-1.1370090984810064,-1.1368651723862193,-1.1332527130536172,-1.136652753211223,-1.1369525998611123,-1.1350752031534759
9,-1.1331152717806328,-1.136982208804156,-1.1165316745536307,-1.136982208804156,-1.1333381508392704,-1.1263200259514017,-1.1333381508392704,-1.1350752031534759,-1.1350752031534754,-1.1370380157299025,-1.1332527130536172,-1.1251183767660244,-1.1349612084908032,-1.1333381508392704,-1.1370380157299025,-1.1368397831016934,-1.1354017970874424,-1.1371426690416895,-1.1370380157299025,-1.1369529485567078
10,-1.1308203395479755,-1.116651162745699,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1244611935900979,-1.1372334511830848,-1.1350460173974661,-1.1370380157299025,-1.1370380157299025,-1.1332088465223737,-1.1350752031534759,-1.1349612084908032,-1.137213390396591,-1.1365587099295422,-1.1332527130536172,-1.136952948556708,-1.1372625492981558,-1.1370380157299025,-1.1350460173974661
11,-1.1308203395479755,-1.1308203395479752,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1244611935900979,-1.1333381508392704,-1.1350752031534759,-1.1351110886305316,-1.1350846087124142,-1.1332088465223737,-1.1357549697344524,-1.1369529485567078,-1.1372625492981558,-1.1350752031534754,-1.1350467033745493,-1.136982208804156,-1.137213390396591,-1.1350752031534754,-1.136982208804156
12,-1.1308203395479755,-1.136982208804156,-1.1368611189274211,-1.136982208804156,-1.1333381508392704,-1.1263197836232788,-1.1251183767660244,-1.1369822088041555,-1.1370380157299025,-1.1370380157299025,-1.1332088465223737,-1.1310986770841034,-1.137213390396591,-1.1350467033745493,-1.1370380157299025,-1.1369822088041555,-1.1351110886305316,-1.1369822088041555,-1.1363087484255667,-1.1370380157299027
13,-1.1331152717806328,-1.1308203395479752,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1244611935900979,-1.1370380157299025,-1.1350467033745493,-1.1349079218644862,-1.1351667561551897,-1.1351110886305316,-1.1332527130536172,-1.1369822088041555,-1.134608322255926,-1.1369822088041557,-1.136952948556708,-1.1372625492981558,-1.1369529485567078,-1.1370380157299025,-1.1370380157299025
14,-1.1308203395479755,-1.1308203395479752,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1263200259514017,-1.1350467033745493,-1.1350752031534754,-1.1369822088041557,-1.136952248519961,-1.1345251960122602,-1.1349612084908032,-1.1365141362763618,-1.1350752031534757,-1.1349079218644862,-1.1372625492981558,-1.1369822088041555,-1.1368651723862193,-1.1370380157299025,-1.136569908330046
15,-1.1308203395479755,-1.1308203395479752,-1.1305517189143464,-1.1349079218644864,-1.1333381508392704,-1.1263201371879286,-1.1333381508392704,-1.1350752031534759,-1.1370380157299025,-1.1369529485567078,-1.136982208804156,-1.1251183767660244,-1.136569908330046,-1.1333381508392704,-1.136982208804156,-1.136982208804156,-1.1367943015940527,-1.1372334511830848,-1.136982208804156,-1.1370380157299025
16,-1.1308203395479755,-1.116651162745699,-1.1305517189143464,-1.1370380157299025,-1.1333381508392704,-1.1244611935900979,-1.1349612084908032,-1.1350467033745493,-1.1350752031534754,-1.1367364527000243,-1.1332527130536172,-1.1251183767660244,-1.136982208804156,-1.1350460173974661,-1.1350752031534754,-1.1350460173974661,-1.1369223512525812,-1.1368651723862193,-1.1370380157299025,-1.1349612084908032
17,-1.1308203395479755,-1.116651162745699,-1.1161732846536578,-1.136982208804156,-1.1333381508392704,-1.1279947726554524,-1.1333381508392704,-1.1369822088041555,-1.1370380157299025,-1.1371854847536176,-1.1332088465223737,-1.1363087484255672,-1.136952948556708,-1.1350752031534757,-1.1370380157299025,-1.1361971694515856,-1.13487804260607,-1.1363087484255667,-1.1369822088041555,-1.136575430107151
18,-1.1308203395479755,-1.116651162745699,-1.1161732846536578,-1.136982208804156,-1.1333381508392704,-1.1263201371879286,-1.1333381508392704,-1.1351110886305313,-1.1330196848706768,-1.1370380157299025,-1.1332088465223737,-1.1251183767660244,-1.1370380157299025,-1.1357549697344524,-1.136575430107151,-1.1369822088041555,-1.1368352145972196,-1.1369822088041555,-1.1370380157299025,-1.1350467033745493
19,-1.1303392703524733,-1.1308203395479752,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1279946843299598,-1.1349612084908032,-1.1350752031534759,-1.1370380157299025,-1.1369822088041557,-1.135345963245299,-1.1350752031534759,-1.1365141362763618,-1.1350752031534759,-1.1368651723862193,-1.1371854847536178,-1.1372625492981558,-1.1369522485199606,-1.1369822088041555,-1.136952948556708
20,-1.1308203395479755,-1.116651162745699,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1263197836232788,-1.1370380157299025,-1.1350752031534759,-1.1369822088041555,-1.1371854847536176,-1.1351667561551897,-1.134269554894781,-1.1367188940075372,-1.1350752031534757,-1.1370090984810064,-1.1369822088041557,-1.136952948556708,-1.1372133903965913,-1.1350752031534754,-1.1310986770841034
21,-1.1308203395479755,-1.116651162745699,-1.1161732846536578,-1.136982208804156,-1.1333381508392704,-1.1263201371879286,-1.1372133903965913,-1.1346192957457395,-1.1372625492981558,-1.1369822088041557,-1.1332527130536172,-1.1251183767660244,-1.1346083222559262,-1.1357549697344524,-1.136575430107151,-1.1350467033745493,-1.1368352145972196,-1.1361677659068878,-1.1370380157299025,-1.1368623723486102
22,-1.1308203395479755,-1.116651162745699,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1263201371879286,-1.1370380157299025,-1.1350752031534759,-1.1372625492981558,-1.13487804260607,-1.1295164237239232,-1.1251183767660244,-1.1365141362763618,-1.1366527532112227,-1.1369223512525812,-1.136982208804156,-1.1370087533025255,-1.1370380157299025,-1.1350752031534754,-1.1370080532657778
23,-1.1331152717806328,-1.116651162745699,-1.1307899128567886,-1.136982208804156,-1.1333381508392704,-1.1263200259514017,-1.1333381508392704,-1.1350752031534754,-1.1369822088041557,-1.1368651723862193,-1.1351667561551897,-1.1350752031534759,-1.136982046297343,-1.1346083222559262,-1.1361971694515853,-1.1369529485567078,-1.1372625492981558,-1.137213390396591,-1.1370380157299025,-1.1332088465223737
24,-1.1308203395479755,-1.136982208804156,-1.1305517189143464,-1.1349079218644864,-1.1333381508392704,-1.1244611935900979,-1.1370380157299025,-1.1350467033745493,-1.1370380157299025,-1.1351110886305313,-1.1332088465223737,-1.1251183767660244,-1.135045317360719,-1.1372133903965913,-1.1347898148091053,-1.1369822088041555,-1.1350460173974661,-1.1350752031534754,-1.1370380157299025,-1.1363087484255672
25,-1.1308203395479755,-1.116651162745699,-1.1305517189143464,-1.1349079218644864,-1.1333381508392704,-1.1263201371879286,-1.1251183767660244,-1.1349612084908032,-1.1370380157299025,-1.133019684870677,-1.1332088465223737,-1.1346192957457395,-1.1350752031534754,-1.1350752031534757,-1.1369822088041555,-1.136982208804156,-1.1371426690416895,-1.1370380157299025,-1.1365085582364274,-1.1365141362763618
